"","player","ou","position","Salary","TeamAbbrev","value"
"1","Andy Dalton",222.5,NA,NA,NA,NA
"2","Kirk Cousins",246.5,NA,NA,NA,NA
"3","Jalen Hurts",238.5,"QB",8200,"PHI",29.0853658536585
"4","Trevor Lawrence",215.5,"QB",5700,"JAX",37.8070175438597
"5","Josh Allen",287.5,"QB",8400,"BUF",34.2261904761905
"6","Lamar Jackson (BAL)",231.5,"QB",8300,"BAL",27.8915662650602
"7","Daniel Jones",194.5,"QB",5400,"NYG",36.0185185185185
"8","Justin Fields",145.5,"QB",5300,"CHI",27.4528301886792
"9","Matt Ryan",238.5,"QB",5600,"IND",42.5892857142857
"10","Ryan Tannehill",222.5,"QB",5500,"TEN",40.4545454545455
"11","Cooper Rush",229.5,"QB",5300,"DAL",43.3018867924528
"12","Davis Mills",234.5,"QB",5000,"HOU",46.9
"13","Justin Herbert",271.5,"QB",7100,"LAC",38.2394366197183
"14","Geno Smith",250.5,"QB",5400,"SEA",46.3888888888889
"15","Mitchell Trubisky",213.5,"QB",5100,"PIT",41.8627450980392
"16","Zach Wilson",206.5,"QB",5200,"NYJ",39.7115384615385
"17","Jacoby Brissett",209.5,"QB",5500,"CLE",38.0909090909091
"18","Marcus Mariota",217.5,"QB",5600,"ATL",38.8392857142857
"19","Baker Mayfield",201.5,"QB",5200,"CAR",38.75
"20","Kyler Murray",235.5,"QB",7600,"ARI",30.9868421052632
"21","Aaron Rodgers",227.5,"QB",6300,"GB",36.1111111111111
"22","Brian Hoyer",189.5,"QB",5100,"NE",37.156862745098
"23","Derek Carr",266.5,"QB",5800,"LV",45.948275862069
"24","Russell Wilson",241.5,"QB",6700,"DEN",36.044776119403
"25","Patrick Mahomes",262.5,NA,NA,NA,NA
"26","Tom Brady",270.5,NA,NA,NA,NA
"27","Jimmy Garoppolo",224.5,NA,NA,NA,NA
"28","Matthew Stafford",250.5,NA,NA,NA,NA
