"","player","ou","position","Salary","Team","value"
"1","Jaylen Warren",30,"RB",5400,"PIT",5.55555555555556
"2","Kenny Pickett",17.5,"QB",6500,"PIT",2.69230769230769
"3","Leonard Fournette",90,"RB",8500,"TB",10.5882352941176
"4","Najee Harris",57,"RB",6200,"PIT",9.19354838709677
"5","Rachaad White",32,"RB",5200,"TB",6.15384615384615
"6","Tom Brady",0.5,"QB",7500,"TB",0.0666666666666667
"7","Aaron Jones",84,"RB",7300,"GB",11.5068493150685
"8","Aaron Rodgers",1.5,"QB",7500,"GB",0.2
"9","AJ Dillon",62,"RB",5900,"GB",10.5084745762712
"10","Breece Hall",82,"RB",7100,"NYJ",11.5492957746479
"11","Michael Carter",42,"RB",5900,"NYJ",7.11864406779661
"12","Zach Wilson",9.5,"QB",6700,"NYJ",1.41791044776119
"13","Daniel Jones",37.5,"QB",6800,"NYG",5.51470588235294
"14","J.K. Dobbins",58,"RB",6800,"BAL",8.52941176470588
"15","Lamar Jackson (BAL)",59.5,"QB",8800,"BAL",6.76136363636364
"16","Saquon Barkley",100,"RB",8800,"NYG",11.3636363636364
"17","Caleb Huntley",27.5,"RB",5500,"ATL",5
"18","Deebo Samuel",78,"WR",7600,"SF",10.2631578947368
"19","Jeff Wilson Jr.",74,"RB",7200,"SF",10.2777777777778
"20","Jimmy Garoppolo",0.5,"QB",7100,"SF",0.0704225352112676
"21","Marcus Mariota",31.5,"QB",6800,"ATL",4.63235294117647
"22","Tyler Allgeier",52,"RB",5800,"ATL",8.96551724137931
"23","Alexander Mattison",21,"RB",5300,"MIN",3.9622641509434
"24","Dalvin Cook",91,"RB",8300,"MIN",10.9638554216867
"25","Kirk Cousins",3.5,"QB",7600,"MIN",0.460526315789474
"26","Raheem Mostert",67,"RB",6500,"MIA",10.3076923076923
"27","Skylar Thompson",12.5,"QB",6300,"MIA",1.98412698412698
"28","Alvin Kamara",92,"RB",8100,"NO",11.358024691358
"29","Andy Dalton",1.5,"QB",6400,"NO",0.234375
"30","Joe Burrow",11.5,"QB",8000,"CIN",1.4375
"31","Joe Mixon",88,"RB",7800,"CIN",11.2820512820513
"32","Mark Ingram",24.5,"RB",5100,"NO",4.80392156862745
"33","Samaje Perine",16,"RB",5600,"CIN",2.85714285714286
"34","Taysom Hill",32.5,"TE",7500,"NO",4.33333333333333
"35","Jacoby Brissett",14.5,"QB",6600,"CLE",2.1969696969697
"36","Kareem Hunt",59,"RB",6000,"CLE",9.83333333333333
"37","Nick Chubb",99,"RB",9500,"CLE",10.4210526315789
"38","Rhamondre Stevenson",101,"RB",7500,"NE",13.4666666666667
"39","Deon Jackson",56,"RB",5600,"IND",10
"40","James Robinson",49,"RB",6700,"JAC",7.3134328358209
"41","Matt Ryan",3.5,"QB",6900,"IND",0.507246376811594
"42","Travis Etienne",54,"RB",6400,"JAC",8.4375
"43","Trevor Lawrence",11.5,"QB",7100,"JAC",1.61971830985915
"44","Christian McCaffrey",99,"RB",8700,"CAR",11.3793103448276
"45","Matthew Stafford",1.5,"QB",7200,"LAR",0.208333333333333
"46","Eno Benjamin",87,"RB",6300,"ARI",13.8095238095238
"47","Geno Smith",12.5,"QB",7400,"SEA",1.68918918918919
"48","Kenneth Walker III",74,"RB",6500,"SEA",11.3846153846154
"49","Kyler Murray",26.5,"QB",8300,"ARI",3.19277108433735
"50","Rondale Moore",48,"WR",5600,"ARI",8.57142857142857
"51","Clyde Edwards-Helaire",56,"RB",7000,"KC",8
"52","Devin Singletary",62,"RB",5700,"BUF",10.8771929824561
"53","Jerick McKinnon",30,"RB",5500,"KC",5.45454545454545
"54","Josh Allen",47.5,"QB",9200,"BUF",5.16304347826087
"55","Patrick Mahomes",22.5,"QB",8600,"KC",2.61627906976744
